À,U+00C0,LATIN CAPITAL LETTER A WITH GRAVE
Á,U+00C1,LATIN CAPITAL LETTER A WITH ACUTE
Â,U+00C2,LATIN CAPITAL LETTER A WITH CIRCUMFLEX
Ã,U+00C3,LATIN CAPITAL LETTER A WITH TILDE
È,U+00C8,LATIN CAPITAL LETTER E WITH GRAVE
É,U+00C9,LATIN CAPITAL LETTER E WITH ACUTE
Ê,U+00CA,LATIN CAPITAL LETTER E WITH CIRCUMFLEX
Ì,U+00CC,LATIN CAPITAL LETTER I WITH GRAVE
Í,U+00CD,LATIN CAPITAL LETTER I WITH ACUTE
Ò,U+00D2,LATIN CAPITAL LETTER O WITH GRAVE
Ó,U+00D3,LATIN CAPITAL LETTER O WITH ACUTE
Ô,U+00D4,LATIN CAPITAL LETTER O WITH CIRCUMFLEX
Õ,U+00D5,LATIN CAPITAL LETTER O WITH TILDE
Ù,U+00D9,LATIN CAPITAL LETTER U WITH GRAVE
Ú,U+00DA,LATIN CAPITAL LETTER U WITH ACUTE
Ý,U+00DD,LATIN CAPITAL LETTER Y WITH ACUTE
à,U+00E0,LATIN SMALL LETTER A WITH GRAVE
á,U+00E1,LATIN SMALL LETTER A WITH ACUTE
â,U+00E2,LATIN SMALL LETTER A WITH CIRCUMFLEX
ã,U+00E3,LATIN SMALL LETTER A WITH TILDE
è,U+00E8,LATIN SMALL LETTER E WITH GRAVE
é,U+00E9,LATIN SMALL LETTER E WITH ACUTE
ê,U+00EA,LATIN SMALL LETTER E WITH CIRCUMFLEX
ì,U+00EC,LATIN SMALL LETTER I WITH GRAVE
í,U+00ED,LATIN SMALL LETTER I WITH ACUTE
ò,U+00F2,LATIN SMALL LETTER O WITH GRAVE
ó,U+00F3,LATIN SMALL LETTER O WITH ACUTE
ô,U+00F4,LATIN SMALL LETTER O WITH CIRCUMFLEX
õ,U+00F5,LATIN SMALL LETTER O WITH TILDE
ù,U+00F9,LATIN SMALL LETTER U WITH GRAVE
ú,U+00FA,LATIN SMALL LETTER U WITH ACUTE
ý,U+00FD,LATIN SMALL LETTER Y WITH ACUTE
Ă,U+0102,LATIN CAPITAL LETTER A WITH BREVE
ă,U+0103,LATIN SMALL LETTER A WITH BREVE
Đ,U+0110,LATIN CAPITAL LETTER D WITH STROKE
đ,U+0111,LATIN SMALL LETTER D WITH STROKE
Ĩ,U+0128,LATIN CAPITAL LETTER I WITH TILDE
ĩ,U+0129,LATIN SMALL LETTER I WITH TILDE
Ũ,U+0168,LATIN CAPITAL LETTER U WITH TILDE
ũ,U+0169,LATIN SMALL LETTER U WITH TILDE
Ơ,U+01A0,LATIN CAPITAL LETTER O WITH HORN
ơ,U+01A1,LATIN SMALL LETTER O WITH HORN
Ư,U+01AF,LATIN CAPITAL LETTER U WITH HORN
ư,U+01B0,LATIN SMALL LETTER U WITH HORN
Ạ,U+1EA0,LATIN CAPITAL LETTER A WITH DOT BELOW
ạ,U+1EA1,LATIN SMALL LETTER A WITH DOT BELOW
Ả,U+1EA2,LATIN CAPITAL LETTER A WITH HOOK ABOVE
ả,U+1EA3,LATIN SMALL LETTER A WITH HOOK ABOVE
Ấ,U+1EA4,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
ấ,U+1EA5,LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
Ầ,U+1EA6,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
ầ,U+1EA7,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
Ẩ,U+1EA8,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
ẩ,U+1EA9,LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
Ẫ,U+1EAA,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
ẫ,U+1EAB,LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
Ậ,U+1EAC,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
ậ,U+1EAD,LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
Ắ,U+1EAE,LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
ắ,U+1EAF,LATIN SMALL LETTER A WITH BREVE AND ACUTE
Ằ,U+1EB0,LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
ằ,U+1EB1,LATIN SMALL LETTER A WITH BREVE AND GRAVE
Ẳ,U+1EB2,LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
ẳ,U+1EB3,LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
Ẵ,U+1EB4,LATIN CAPITAL LETTER A WITH BREVE AND TILDE
ẵ,U+1EB5,LATIN SMALL LETTER A WITH BREVE AND TILDE
Ặ,U+1EB6,LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
ặ,U+1EB7,LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
Ẹ,U+1EB8,LATIN CAPITAL LETTER E WITH DOT BELOW
ẹ,U+1EB9,LATIN SMALL LETTER E WITH DOT BELOW
Ẻ,U+1EBA,LATIN CAPITAL LETTER E WITH HOOK ABOVE
ẻ,U+1EBB,LATIN SMALL LETTER E WITH HOOK ABOVE
Ẽ,U+1EBC,LATIN CAPITAL LETTER E WITH TILDE
ẽ,U+1EBD,LATIN SMALL LETTER E WITH TILDE
Ế,U+1EBE,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
ế,U+1EBF,LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
Ề,U+1EC0,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
ề,U+1EC1,LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
Ể,U+1EC2,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
ể,U+1EC3,LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
Ễ,U+1EC4,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
ễ,U+1EC5,LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
Ệ,U+1EC6,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
ệ,U+1EC7,LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
Ỉ,U+1EC8,LATIN CAPITAL LETTER I WITH HOOK ABOVE
ỉ,U+1EC9,LATIN SMALL LETTER I WITH HOOK ABOVE
Ị,U+1ECA,LATIN CAPITAL LETTER I WITH DOT BELOW
ị,U+1ECB,LATIN SMALL LETTER I WITH DOT BELOW
Ọ,U+1ECC,LATIN CAPITAL LETTER O WITH DOT BELOW
ọ,U+1ECD,LATIN SMALL LETTER O WITH DOT BELOW
Ỏ,U+1ECE,LATIN CAPITAL LETTER O WITH HOOK ABOVE
ỏ,U+1ECF,LATIN SMALL LETTER O WITH HOOK ABOVE
Ố,U+1ED0,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
ố,U+1ED1,LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
Ồ,U+1ED2,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
ồ,U+1ED3,LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
Ổ,U+1ED4,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
ổ,U+1ED5,LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
Ỗ,U+1ED6,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
ỗ,U+1ED7,LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
Ộ,U+1ED8,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
ộ,U+1ED9,LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
Ớ,U+1EDA,LATIN CAPITAL LETTER O WITH HORN AND ACUTE
ớ,U+1EDB,LATIN SMALL LETTER O WITH HORN AND ACUTE
Ờ,U+1EDC,LATIN CAPITAL LETTER O WITH HORN AND GRAVE
ờ,U+1EDD,LATIN SMALL LETTER O WITH HORN AND GRAVE
Ở,U+1EDE,LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
ở,U+1EDF,LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
Ỡ,U+1EE0,LATIN CAPITAL LETTER O WITH HORN AND TILDE
ỡ,U+1EE1,LATIN SMALL LETTER O WITH HORN AND TILDE
Ợ,U+1EE2,LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
ợ,U+1EE3,LATIN SMALL LETTER O WITH HORN AND DOT BELOW
Ụ,U+1EE4,LATIN CAPITAL LETTER U WITH DOT BELOW
ụ,U+1EE5,LATIN SMALL LETTER U WITH DOT BELOW
Ủ,U+1EE6,LATIN CAPITAL LETTER U WITH HOOK ABOVE
ủ,U+1EE7,LATIN SMALL LETTER U WITH HOOK ABOVE
Ứ,U+1EE8,LATIN CAPITAL LETTER U WITH HORN AND ACUTE
ứ,U+1EE9,LATIN SMALL LETTER U WITH HORN AND ACUTE
Ừ,U+1EEA,LATIN CAPITAL LETTER U WITH HORN AND GRAVE
ừ,U+1EEB,LATIN SMALL LETTER U WITH HORN AND GRAVE
Ử,U+1EEC,LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
ử,U+1EED,LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
Ữ,U+1EEE,LATIN CAPITAL LETTER U WITH HORN AND TILDE
ữ,U+1EEF,LATIN SMALL LETTER U WITH HORN AND TILDE
Ự,U+1EF0,LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
ự,U+1EF1,LATIN SMALL LETTER U WITH HORN AND DOT BELOW
Ỳ,U+1EF2,LATIN CAPITAL LETTER Y WITH GRAVE
ỳ,U+1EF3,LATIN SMALL LETTER Y WITH GRAVE
Ỵ,U+1EF4,LATIN CAPITAL LETTER Y WITH DOT BELOW
ỵ,U+1EF5,LATIN SMALL LETTER Y WITH DOT BELOW
Ỷ,U+1EF6,LATIN CAPITAL LETTER Y WITH HOOK ABOVE
ỷ,U+1EF7,LATIN SMALL LETTER Y WITH HOOK ABOVE
Ỹ,U+1EF8,LATIN CAPITAL LETTER Y WITH TILDE
ỹ,U+1EF9,LATIN SMALL LETTER Y WITH TILDE
